repo1,repo2,Similarity(No. 1),Similarity(No. 2)
jazzband/django-taggit,boppreh/keyboard,0.442,0.175
jab/bidict,coala/coala,0.065,0.147
sshwsfc/xadmin,errbotio/errbot,0.196,0.136
python-excel/xlrd,scanny/python-pptx,0.292,0.095
unoconv/unoconv,pyexcel/pyexcel,0.718,0.108
napalm-automation/napalm,bbangert/beaker,0.826,0.25
facebook/pyre-check,python/typeshed,0.475,0.268
abhiTronix/vidgear,pyparsing/pyparsing,0.468,0.241
spotify/annoy,spotify/annoy,0.045,0.048
Alir3z4/html2text,Alir3z4/html2text,0.051,0.035
mining/mining,dfunckt/django-rules,0.24,0.402
jfkirk/tensorrec,jendrikseipp/vulture,0.105,0.579
saffsd/langid.py,fxsjy/jieba,0.129,0.085
binux/pyspider,jmcarp/robobrowser,0.189,0.067
django-crispy-forms/django-crispy-forms,dyve/django-bootstrap3,0.062,0.054
getsentry/responses,gabrielfalcao/HTTPretty,0.066,0.098
dmlc/xgboost,dmlc/xgboost,0.338,0.206
altair-viz/altair,isnowfy/snownlp,0.528,0.157
beetbox/audioread,worldveil/dejavu,0.353,0.311
joestump/python-oauth2,devsnd/tinytag,0.404,0.225
CleanCut/green,davidhalter/jedi-vim,0.835,0.814
keon/algorithms,awslabs/aws-data-wrangler,0.808,0.707
SmileyChris/django-countries,fogleman/Quads,0.872,0.969
coala/coala,google/google-api-python-client,0.869,0.959
jmcarp/robobrowser,binux/pyspider,0.06,0.074
ray-project/ray,ray-project/ray,0.107,0.116
lorien/grab,pycco-docs/pycco,0.929,0.833
statsmodels/statsmodels,html5lib/html5lib-python,0.789,0.801
PrefectHQ/prefect,euske/pdfminer,0.886,0.922
knipknap/SpiffWorkflow,PrefectHQ/prefect,0.848,0.914
dahlia/wand,jorgenschaefer/elpy,0.078,0.313
beetbox/beets,beetbox/beets,0.076,0.346
buriy/python-readability,miso-belica/sumy,0.47,0.122
carlospalol/money,awesto/django-shop,0.289,0.28
deanmalmgren/textract,miso-belica/sumy,0.248,0.256
cdgriffith/Box,michaelhelmick/lassie,0.356,0.544
carlosescri/DottedDict,carlosescri/DottedDict,0.175,0.208
wemake-services/wemake-python-styleguide,dylanaraps/pywal,0.102,0.3
dahlia/wand,mongodb/motor,0.977,0.958
aaugustin/websockets,indico/indico,0.902,0.976
dahlia/awesome-sqlalchemy,burnash/gspread,0.184,0.14
PyCQA/prospector,coala/coala,0.093,0.166
prabhupant/python-ds,stephenmcd/mezzanine,0.913,0.748
sshwsfc/xadmin,mher/flower,0.436,0.548
encode/uvicorn,Suor/funcy,0.838,0.114
worldveil/dejavu,keunwoochoi/kapre,0.832,0.108
buriy/python-readability,buriy/python-readability,0.12,0.041
timofurrer/try,sloria/doitlive,0.052,0.109
google/pyringe,ionelmc/python-hunter,0.482,0.227
miso-belica/sumy,mikeorr/Unipath,0.9,0.084
boppreh/keyboard,secdev/scapy,0.162,0.465
tqdm/tqdm,glamp/bashplotlib,0.256,0.451
lorien/grab,seatgeek/sixpack,0.639,0.136
lepture/authlib,idan/oauthlib,0.163,0.114
sdispater/poetry,sloria/doitlive,0.773,0.104
derek73/python-nameparser,dabeaz/ply,0.844,0.124
chapmanb/bcbio-nextgen,benedekrozemberczki/karateclub,0.201,0.368
nficano/python-lambda,scanny/python-pptx,0.176,0.253
dmlc/xgboost,html5lib/html5lib-python,0.133,0.368
timofurrer/maya,dateutil/dateutil,0.132,0.342
aizvorski/scikit-video,Microsoft/PTVS,0.615,0.602
mahmoud/boltons,statsmodels/statsmodels,0.759,0.434
r0x0r/pywebview,pybee/toga,0.146,0.178
davidhalter/jedi-vim,soravux/scoop,0.072,0.419
gabrielfalcao/HTTPretty,lepture/authlib,0.253,0.284
aws/aws-cli,laixintao/iredis,0.378,0.198
wooey/wooey,geex-arts/django-jet,0.313,0.518
podio/valideer,devpi/devpi,0.608,0.601
ryanmcgrath/twython,google/google-api-python-client,0.239,0.309
patx/pickledb,antocuni/pdb,0.408,0.63
rochacbruno/quokka,rochacbruno/quokka,0.043,0.058
SavinaRoja/PyUserInput,boppreh/mouse,0.238,0.11
jindaxiang/akshare,dmlc/mxnet,0.984,0.37
zoofIO/flexx,cdgriffith/Box,0.945,0.329
mobolic/facebook-sdk,inducer/pudb,0.093,0.744
mining/mining,Julian/jsonschema,0.086,0.724
khamidou/lptrace,google/yapf,0.157,0.316
dyve/django-bootstrap3,pyeve/eve,0.117,0.223
pallets/jinja,gabrielfalcao/HTTPretty,0.446,0.583
wooey/wooey,wooey/wooey,0.212,0.367
Alir3z4/python-currencies,agiliq/merchant,0.103,0.368
platformio/platformio-core,peterbrittain/asciimatics,0.362,0.364
stephenmcd/hot-redis,bloomberg/bqplot,0.776,0.215
psf/requests-html,Alir3z4/html2text,0.133,0.142
devsnd/tinytag,timothycrosley/isort,0.921,0.964
bloomberg/bqplot,omab/python-social-auth,0.942,0.937
derek73/python-nameparser,daviddrysdale/python-phonenumbers,0.111,0.097
shazow/urllib3,twisted/treq,0.029,0.096
gunnery/gunnery,gunnery/gunnery,0.031,0.069
prabhupant/python-ds,grantjenks/python-sortedcontainers,0.042,0.101
maciejkula/spotlight,spotify/annoy,0.102,0.151
buriy/python-readability,codelucas/newspaper,0.056,0.074
vispy/vispy,pallets/markupsafe,0.256,0.738
chriskiehl/Gooey,nucleic/enaml,0.306,0.585
joke2k/faker,emirozer/fake2db,0.338,0.097
joestump/python-oauth2,lepture/authlib,0.327,0.106
dask/dask,Yelp/mrjob,0.102,0.071
mooz/percol,timofurrer/try,0.067,0.085
zostera/django-bootstrap4,dyve/django-bootstrap3,0.187,0.049
django/django,django/django,0.082,0.044
robinhood/faust,robinhood/faust,0.092,0.101
sergree/matchering,librosa/librosa,0.057,0.066
KoffeinFlummi/Chronyk,dirn/When.py,0.061,0.098
Alir3z4/html2text,codelucas/newspaper,0.139,0.074
magenta/magenta,vandersonmota/model_mommy,0.621,0.336
Pylons/waitress,benoitc/gunicorn,0.615,0.248
dylanaraps/pywal,hhatto/nude.py,0.043,0.055
zachwill/moment,timofurrer/maya,0.044,0.064
psf/requests-html,coleifer/micawber,0.088,0.055
NicolasHug/Surprise,jfkirk/tensorrec,0.121,0.115
thauber/django-schedule,rsalmei/alive-progress,0.554,0.161
dabeaz/ply,ztane/python-Levenshtein,0.409,0.199
django/django,martinrusev/imbox,0.271,0.139
coleifer/huey,rq/rq,0.363,0.161
andialbrecht/sqlparse,benfred/py-spy,0.297,0.475
beetbox/audioread,tylerlaberge/PyPattyrn,0.12,0.655
getsentry/sentry-python,pybee/toga,0.135,0.319
kiwicom/schemathesis,asweigart/pyautogui,0.089,0.337
pennersr/django-allauth,jonathanslenders/python-prompt-toolkit,0.979,0.919
Fizzadar/pyinfra,ansible/ansible,0.885,0.902
benoitc/gunicorn,martinrusev/imbox,0.484,0.392
gleitz/howdoi,sdispater/poetry,0.717,0.198
laixintao/iredis,napalm-automation/napalm,0.126,0.106
mozillazg/python-pinyin,chardet/chardet,0.062,0.077
awesto/django-shop,vandersonmota/model_mommy,0.434,0.261
boppreh/keyboard,willmcgugan/rich,0.642,0.165
stephenmcd/mezzanine,nucleic/enaml,0.36,0.341
MasoniteFramework/masonite,daviddrysdale/python-phonenumbers,0.063,0.431
bokeh/bokeh,bokeh/bokeh,0.322,0.33
mwaskom/seaborn,h2oai/h2o-3,0.6,0.342
amitt001/delegator.py,cdgriffith/Box,0.884,0.526
miracle2k/flask-assets,jschneier/django-storages,0.828,0.345
secdev/scapy,SavinaRoja/PyUserInput,0.136,0.059
timofurrer/maya,shinux/PyTime,0.16,0.05
dirn/When.py,chineking/cola,0.24,0.212
thauber/django-schedule,ionelmc/python-hunter,0.623,0.24
thumbor/thumbor,python-pillow/Pillow,0.038,0.094
kevin1024/vcrpy,patrys/httmock,0.039,0.173
spyoungtech/grequests,abhiTronix/vidgear,0.609,0.681
beetbox/beets,fxsjy/jieba,0.389,0.694
coleifer/huey,SerpentAI/SerpentAI,0.856,0.132
ironmussa/Optimus,ZoomerAnalytics/xlwings,0.738,0.178
pallets/werkzeug,zopefoundation/ZODB,0.549,0.878
dmlc/xgboost,mindsdb/mindsdb,0.493,0.924
saltstack/salt,saltstack/salt,0.54,0.245
nvbn/thefuck,facebook/PathPicker,0.067,0.16
geopy/geopy,SmileyChris/django-countries,0.365,0.069
codeinthehole/purl,marshmallow-code/webargs,0.291,0.07
ionelmc/python-hunter,amitt001/delegator.py,0.855,0.411
Kotti/Kotti,indico/indico,0.434,0.182
dyve/django-bootstrap3,jet-admin/jet-bridge,0.674,0.262
pypa/virtualenv,srusskih/SublimeJEDI,0.874,0.264
selwin/python-user-agents,MongoEngine/mongoengine,0.601,0.629
benfred/py-spy,zostera/django-bootstrap4,0.831,0.6
PySimpleGUI/PySimpleGUI,chriskiehl/Gooey,0.301,0.573
sshwsfc/xadmin,geex-arts/django-jet,0.271,0.561
istrategylabs/django-wordpress,boto/boto3,0.255,0.239
skorokithakis/shortuuid,amoffat/sh,0.852,0.481
lepture/authlib,joestump/python-oauth2,0.105,0.079
patrys/httmock,spulec/freezegun,0.218,0.068
lericson/pylibmc,derek73/python-nameparser,0.124,0.401
pwaller/pyfiglet,LuminosoInsight/python-ftfy,0.13,0.176
dbcli/pgcli,abhiTronix/vidgear,0.046,0.341
khamidou/lptrace,faif/python-patterns,0.194,0.386
thumbor/thumbor,rossgoodwin/hmap,0.029,0.166
patx/pickledb,python-attrs/attrs,0.063,0.513
jmcnamara/XlsxWriter,scanny/python-pptx,0.397,0.234
mstamy2/PyPDF2,h2oai/h2o-3,0.444,0.327
lorien/grab,bbangert/beaker,0.196,0.385
spyoungtech/grequests,httplib2/httplib2,0.455,0.548
PetrochukM/PyTorch-NLP,clips/pattern,0.103,0.098
MongoEngine/mongoengine,kiddouk/redisco,0.144,0.172
python-pillow/Pillow,WhyNotHugo/python-barcode,0.043,0.308
geex-arts/django-jet,dbcli/pgcli,0.066,0.348
saffsd/langid.py,isnowfy/snownlp,0.085,0.114
chineking/cola,lorien/grab,0.04,0.085
beetbox/audioread,beetbox/audioread,0.229,0.089
hhatto/nude.py,daboth/pagan,0.123,0.035
dabeaz/ply,mongodb/motor,0.676,0.482
burnash/gspread,burnash/gspread,0.521,0.304
Theano/Theano,seatgeek/fuzzywuzzy,0.475,0.192
conda/conda,conda/conda,0.538,0.088
tiangolo/fastapi,huge-success/sanic,0.057,0.058
rq/rq,rq/rq,0.144,0.105
django/channels,carlosescri/DottedDict,0.654,0.121
fogleman/Quads,lincolnloop/python-qrcode,0.217,0.106
inducer/pudb,antocuni/pdb,0.809,0.737
TheAlgorithms/Python,ryanmcgrath/twython,0.934,0.655
secdev/scapy,chapmanb/bcbb,0.161,0.404
Cornices/cornice,stanfordnlp/stanza,0.779,0.341
miso-belica/sumy,buriy/python-readability,0.222,0.082
gawel/pyquery,pallets/markupsafe,0.2,0.188
kornia/kornia,sirfz/tesserocr,0.28,0.053
pymc-devs/pymc3,statsmodels/statsmodels,0.394,0.086
devsnd/tinytag,SmileyChris/django-countries,0.216,0.094
coleifer/micawber,psf/requests-html,0.137,0.059
coleifer/peewee,coleifer/peewee,0.235,0.724
Parisson/TimeSide,chriskiehl/Gooey,0.244,0.712
rkern/line_profiler,timofurrer/try,0.61,0.267
kevin1024/vcrpy,mindflayer/python-mocket,0.266,0.155
nicfit/eyeD3,nicfit/eyeD3,0.078,0.082
SciTools/cartopy,SciTools/cartopy,0.023,0.023
carlosescri/DottedDict,python-attrs/attrs,0.052,0.218
erikrose/more-itertools,sympy/sympy,0.273,0.201
Cornices/cornice,giampaolo/psutil,0.16,0.41
sirfz/tesserocr,sightmachine/SimpleCV,0.103,0.307
esnme/ultrajson,esnme/ultrajson,0.093,0.083
henriquebastos/python-decouple,dabeaz/ply,0.344,0.137
pytoolz/toolz,nicfit/eyeD3,0.221,0.342
getpelican/pelican,sunainapai/makesite,0.041,0.186
selwin/python-user-agents,dabeaz/ply,0.634,0.194
sergree/matchering,emirozer/fake2db,0.478,0.192
dahlia/wand,fengsp/plan,0.162,0.268
tiangolo/fastapi,encode/apistar,0.083,0.256
librosa/librosa,miracle2k/flask-assets,0.473,0.862
sunainapai/makesite,sunainapai/makesite,0.692,0.766
libvips/pyvips,rossgoodwin/hmap,0.075,0.516
dimka665/awesome-slugify,pycco-docs/pycco,0.257,0.666
encode/orm,web2py/pydal,0.142,0.326
html5lib/html5lib-python,pallets/markupsafe,0.175,0.208
wooey/wooey,flask-admin/flask-admin,0.548,0.285
jet-admin/jet-bridge,flask-admin/flask-admin,0.646,0.379
seatgeek/fuzzywuzzy,LuminosoInsight/python-ftfy,0.461,0.233
nvdv/vprof,jazzband/pip-tools,0.25,0.333
henriquebastos/python-decouple,jab/bidict,0.58,0.686
dateutil/dateutil,locustio/locust,0.736,0.598
linkedin/shiv,linkedin/shiv,0.566,0.06
knipknap/SpiffWorkflow,fengsp/plan,0.111,0.033
keunwoochoi/kapre,Parisson/TimeSide,0.219,0.132
chardet/chardet,LuminosoInsight/python-ftfy,0.245,0.135
mozillazg/python-pinyin,ageitgey/face_recognition,0.951,0.533
JohnLangford/vowpal_wabbit,aws/aws-cli,0.964,0.733
spyder-ide/spyder,google/python-fire,0.074,0.494
mwaskom/seaborn,timothycrosley/isort,0.267,0.384
esnme/ultrajson,marshmallow-code/marshmallow,0.079,0.056
Bogdanp/dramatiq,rq/rq,0.118,0.071
tqdm/tqdm,mher/flower,0.651,0.532
glamp/bashplotlib,davidaurelio/hashids-python,0.521,0.397
thumbor/thumbor,libvips/pyvips,0.2,0.071
Parisson/TimeSide,Parisson/TimeSide,0.388,0.122
WiserTogether/django-remote-forms,WiserTogether/django-remote-forms,0.112,0.084
omab/python-social-auth,lepture/authlib,0.032,0.074
jiaaro/pydub,Parisson/TimeSide,0.144,0.061
lericson/pylibmc,lericson/pylibmc,0.145,0.128
gawel/pyquery,SciTools/cartopy,0.726,0.164
chardet/chardet,vinta/pangu.py,0.433,0.247
asweigart/pyautogui,pytransitions/transitions,0.774,0.147
stanfordnlp/stanza,PetrochukM/PyTorch-NLP,0.459,0.093
pallets/itsdangerous,jek/blinker,0.141,0.217
ibayer/fastFM,benfred/implicit,0.092,0.226
xonsh/xonsh,python-greenlet/greenlet,0.385,0.444
spotify/annoy,jazzband/django-taggit,0.168,0.49
mindsdb/mindsdb,sdispater/orator,0.087,0.135
jaraco/path.py,secdev/scapy,0.087,0.132
marshmallow-code/webargs,codeinthehole/purl,0.113,0.059
noxrepo/pox,noxrepo/pox,0.231,0.116
Bogdanp/dramatiq,tartiflette/tartiflette-asgi,0.126,0.867
miracle2k/webassets,pyfilesystem/pyfilesystem2,0.106,0.552
PyCQA/prospector,schematics/schematics,0.123,0.267
boto/boto3,ryanmcgrath/twython,0.087,0.257
awesto/django-shop,lxneng/alipay,0.152,0.229
jakubroztocil/httpie,davidhalter/jedi,0.108,0.232
google/pyringe,dfunckt/django-rules,0.186,0.432
Alir3z4/html2text,coleifer/micawber,0.088,0.213
encode/httpx,twisted/treq,0.106,0.046
mpdavis/python-jose,davedoesdev/python-jwt,0.116,0.118
sdispater/pendulum,dateutil/dateutil,0.066,0.086
marshmallow-code/marshmallow,noxrepo/pox,0.178,0.166
patx/pickledb,hugapi/hug,0.244,0.848
encode/httpx,spyoungtech/grequests,0.331,0.653
python-excel/xlrd,peterbrittain/asciimatics,0.24,0.4
scanny/python-pptx,scanny/python-pptx,0.215,0.176
google/python-fire,rossgoodwin/hmap,0.791,0.541
scrapinghub/portia,binux/pyspider,0.154,0.418
michaelhelmick/lassie,gabrielfalcao/HTTPretty,0.65,0.176
emirozer/fake2db,jpadilla/pyjwt,0.444,0.379
sightmachine/SimpleCV,kornia/kornia,0.065,0.208
daviddrysdale/python-phonenumbers,bbangert/beaker,0.105,0.209
wooey/wooey,jet-admin/jet-bridge,0.106,0.109
glamp/bashplotlib,fogleman/Quads,0.275,0.055
Cornices/cornice,LuminosoInsight/python-ftfy,0.759,0.804
facebook/PathPicker,inducer/pudb,0.356,0.84
Cornices/cornice,miso-belica/sumy,0.568,0.242
Miserlou/Zappa,ionelmc/python-manhole,0.652,0.361
burnash/gspread,boto/boto3,0.074,0.133
saffsd/langid.py,PetrochukM/PyTorch-NLP,0.034,0.127
Pylons/deform,dfunckt/django-rules,0.077,0.153
mozilla/bleach,miso-belica/sumy,0.19,0.105
gawel/pyquery,python-openxml/python-docx,0.58,0.154
boppreh/keyboard,boppreh/mouse,0.298,0.241
bokeh/bokeh,jab/bidict,0.407,0.166
thumbor/thumbor,ponyorm/pony,0.837,0.208
lorien/grab,chineking/cola,0.126,0.173
uber/pyflame,rkern/line_profiler,0.069,0.229
lancopku/pkuseg-python,saffsd/langid.py,0.074,0.089
hugapi/hug,falconry/falcon,0.033,0.059
spotify/annoy,devpi/devpi,0.962,0.711
PyMySQL/PyMySQL,mindsdb/mindsdb,0.943,0.845
gunnery/gunnery,fengsp/plan,0.168,0.399
timofurrer/maya,keleshev/schema,0.491,0.615
google/python-fire,google/python-fire,0.061,0.045
pricingassistant/mrq,pricingassistant/mrq,0.081,0.041
django/daphne,quantopian/zipline,0.962,0.653
pyglet/pyglet,zoofIO/flexx,0.69,0.431
dbcli/litecli,lektor/lektor,0.671,0.133
django/channels,schematics/schematics,0.634,0.151
wooey/wooey,WhyNotHugo/python-barcode,0.937,0.5
jab/bidict,python-attrs/attrs,0.582,0.599
html5lib/html5lib-python,idan/oauthlib,0.646,0.409
fogleman/Quads,rossgoodwin/hmap,0.239,0.412
jmcnamara/XlsxWriter,unoconv/unoconv,0.095,0.048
saffsd/langid.py,stanfordnlp/stanza,0.05,0.07
NicolasHug/Surprise,PyMySQL/PyMySQL,0.635,0.5
keunwoochoi/kapre,marrow/mailer,0.096,0.3
robinhood/faust,Parsely/streamparse,0.256,0.886
pynamodb/PynamoDB,audreyr/cookiecutter,0.578,0.912
PetrochukM/PyTorch-NLP,platformio/platformio-core,0.648,0.849
dylanaraps/pywal,WhyNotHugo/python-barcode,0.417,0.723
psf/requests-html,sdispater/orator,0.169,0.618
evonove/django-oauth-toolkit,pennersr/django-allauth,0.155,0.575
jonashaag/bjoern,0rpc/zerorpc-python,0.04,0.164
lincolnloop/python-qrcode,rossgoodwin/hmap,0.047,0.066
mobolic/facebook-sdk,istrategylabs/django-wordpress,0.315,0.173
pallets/itsdangerous,boppreh/keyboard,0.674,0.254
kiwicom/schemathesis,locustio/locust,0.196,0.383
agiliq/merchant,jeffknupp/sandman2,0.238,0.592
python-openxml/python-docx,google/google-api-python-client,0.075,0.454
MicroPyramid/forex-python,carlospalol/money,0.059,0.587
gruns/furl,ellisonleao/pyshorteners,0.064,0.169
RaylockLLC/DearPyGui,r0x0r/pywebview,0.098,0.147
zoofIO/flexx,nucleic/enaml,0.456,0.663
google/pytype,WiserTogether/django-remote-forms,0.885,0.881
coala/coala,aizvorski/scikit-video,0.255,0.23
kootenpv/yagmail,ryanmcgrath/twython,0.344,0.353
martinrusev/imbox,tiangolo/fastapi,0.504,0.48
dmlc/mxnet,chardet/chardet,0.644,0.446
spyoungtech/grequests,aws/aws-cli,0.705,0.75
gunnery/gunnery,dbader/schedule,0.388,0.583
spulec/freezegun,kevin1024/vcrpy,0.341,0.267
jonashaag/bjoern,getsentry/responses,0.143,0.286
antocuni/pdb,inducer/pudb,0.106,0.142
zoofIO/flexx,r0x0r/pywebview,0.05,0.039
ionelmc/python-hunter,coala/coala,0.113,0.114
shazow/urllib3,encode/httpx,0.029,0.055
lincolnloop/python-qrcode,django-cache-machine/django-cache-machine,0.845,0.963
fabtools/fabtools,Parisson/TimeSide,0.897,0.967
fengsp/plan,mininet/mininet,0.179,0.146
jmcnamara/XlsxWriter,elapouya/python-docx-template,0.089,0.087
chriskiehl/Gooey,pybee/toga,0.18,0.076
asweigart/pyautogui,asweigart/pyautogui,0.24,0.237
daboth/pagan,dylanaraps/pywal,0.102,0.08
h2oai/h2o-3,JohnLangford/vowpal_wabbit,0.184,0.138
dbader/schedule,PrefectHQ/prefect,0.052,0.106
patrys/httmock,patrys/httmock,0.054,0.117
gotcha/ipdb,benhamner/Metrics,0.305,0.244
pytoolz/toolz,python-openxml/python-docx,0.153,0.174
httplib2/httplib2,shazow/urllib3,0.59,0.145
lektor/lektor,mkdocs/mkdocs,0.282,0.082
coleifer/micawber,deanmalmgren/textract,0.867,0.75
pwaller/pyfiglet,lorien/grab,0.907,0.888
cobrateam/splinter,pythonnet/pythonnet,0.329,0.698
PyMySQL/mysqlclient-python,scottrogowski/code2flow,0.731,0.841
willmcgugan/rich,willmcgugan/rich,0.118,0.725
keleshev/schema,librosa/librosa,0.332,0.733
evhub/coconut,DamnWidget/anaconda,0.184,0.625
facebookresearch/pytext,pytoolz/cytoolz,0.144,0.686
sdispater/pendulum,KoffeinFlummi/Chronyk,0.642,0.566
google/pytype,Pylons/waitress,0.959,0.728
sunainapai/makesite,getnikola/nikola,0.458,0.525
tyiannak/pyAudioAnalysis,SmileyChris/django-countries,0.711,0.761
statsmodels/statsmodels,carlospalol/money,0.597,0.768
euske/pdfminer,mindflayer/python-mocket,0.572,0.791
pycco-docs/pycco,lxneng/alipay,0.817,0.542
sergree/matchering,keunwoochoi/kapre,0.671,0.637
scottrogowski/code2flow,cobrateam/splinter,0.219,0.237
glamp/bashplotlib,rsalmei/alive-progress,0.412,0.214
jmcnamara/XlsxWriter,python-openxml/python-docx,0.724,0.812
jmcnamara/XlsxWriter,jfkirk/tensorrec,0.854,0.774
keras-team/keras,Alir3z4/python-currencies,0.938,0.189
nose-devs/nose2,jab/bidict,0.915,0.175
mwaskom/seaborn,mwaskom/seaborn,0.27,0.482
orsinium/textdistance,mpdavis/python-jose,0.432,0.763
istrategylabs/django-wordpress,burnash/gspread,0.083,0.038
Parisson/TimeSide,beetbox/audioread,0.157,0.059
nucleic/enaml,evonove/django-oauth-toolkit,0.932,0.94
kevin1024/vcrpy,skorokithakis/shortuuid,0.935,0.968
falconry/falcon,encode/apistar,0.045,0.233
buriy/python-readability,psf/requests-html,0.055,0.203
stchris/untangle,html5lib/html5lib-python,0.048,0.105
marrow/mailer,Suor/django-cacheops,0.133,0.127
MagicStack/uvloop,zostera/django-bootstrap4,0.388,0.441
carlospalol/money,wtforms/wtforms,0.599,0.371
napalm-automation/napalm,dimka665/awesome-slugify,0.616,0.837
shinux/PyTime,django-haystack/django-haystack,0.701,0.842
gleitz/howdoi,DiffSK/configobj,0.244,0.86
rochacbruno/quokka,google/yapf,0.515,0.783
pycco-docs/pycco,Cornices/cornice,0.229,0.679
pwaller/pyfiglet,getpelican/pelican,0.071,0.688
spulec/freezegun,pynamodb/PynamoDB,0.14,0.13
psf/requests-html,gaojiuli/toapi,0.127,0.074
benhamner/Metrics,mindsdb/mindsdb,0.478,0.079
errbotio/errbot,pybuilder/pybuilder,0.85,0.091
pykong/copier,pyinvoke/invoke,0.142,0.648
agiliq/merchant,ibayer/fastFM,0.596,0.701
mozillazg/python-pinyin,vinta/pangu.py,0.166,0.109
rossgoodwin/hmap,WhyNotHugo/python-barcode,0.124,0.123
rq/rq,Bogdanp/dramatiq,0.842,0.434
audreyr/cookiecutter,binux/pyspider,0.709,0.269
knipknap/SpiffWorkflow,robinhood/faust,0.254,0.371
benedekrozemberczki/karateclub,devsnd/tinytag,0.58,0.381
httplib2/httplib2,kootenpv/yagmail,0.31,0.321
ajenti/ajenti,geex-arts/django-jet,0.099,0.121
nicfit/eyeD3,tylerlaberge/PyPattyrn,0.705,0.209
Kotti/Kotti,rochacbruno/quokka,0.042,0.107
binux/pyspider,rogerbinns/apsw,0.908,0.555
isnowfy/snownlp,ChrisKnott/Eel,0.457,0.612
sloria/doitlive,gleitz/howdoi,0.355,0.459
getnikola/nikola,prabhupant/python-ds,0.539,0.305
mooz/percol,facebook/PathPicker,0.031,0.074
quantopian/zipline,napalm-automation/napalm,0.227,0.114
thumbor/thumbor,bpython/bpython,0.264,0.214
miso-belica/sumy,codelucas/newspaper,0.457,0.108
ponyorm/pony,web2py/pydal,0.165,0.12
MicroPyramid/forex-python,agiliq/merchant,0.048,0.08
ionelmc/python-hunter,django-compressor/django-compressor,0.497,0.116
gorakhargosh/watchdog,pyfilesystem/pyfilesystem2,0.275,0.054
coleifer/peewee,evhub/coconut,0.352,0.584
